Location,Price,Bedrooms,Bathrooms,Size
Santa Maria-Orcutt,225000,3,3,1800
Paso Robles,695000,5,6,3750
Nipomo,242500,3,3,1650
Arroyo Grande,249250,2,1,728
Grover Beach,479000,3,2,1462
Lompoc,169900,3,2,1150
Santa Maria-Orcutt,219900,3,3,1660
Paso Robles,150000,2,2,1440
Nipomo,649000,4,2,1814
Santa Maria-Orcutt,285000,4,3,2100
Paso Robles,163999,3,2,1488
Nipomo,349000,4,2,1718
Buellton,409900,3,2,1716
Los Osos,275000,3,2,1320
Santa Maria-Orcutt,179900,3,2,1200
Oceano,789000,3,3,2218
Santa Maria-Orcutt,299000,4,3,1768
Arroyo Grande,850000,5,4,3588
Santa Maria-Orcutt,295900,3,2,1776
Santa Maria-Orcutt,199000,4,3,1467
Santa Maria-Orcutt,199900,3,3,1950
Santa Maria-Orcutt,179900,3,2,1288
Atascadero,290000,3,3,1733
Santa Maria-Orcutt,168000,3,2,1128
Santa Maria-Orcutt,270000,3,3,1900
Los Osos,1249000,6,7,5103
Santa Maria-Orcutt,240000,3,2,1255
Coalinga,219500,5,2,1802
Santa Maria-Orcutt,235000,4,3,2336
San Luis Obispo,239800,2,2,1190
Santa Maria-Orcutt,269000,3,3,1800
Paso Robles,319200,4,3,2006
Paso Robles,402500,3,2,2446
Paso Robles,425000,3,2,2114
Atascadero,669000,3,3,2600
Atascadero,369000,3,2,1514
Paso Robles,239900,3,2,1080
Grover Beach,249500,2,2,1088
Solvang,557000,4,2,1809
Santa Maria-Orcutt,339900,6,3,2053
Nipomo,149900,2,2,969
Arroyo Grande,849900,3,4,3375
Lompoc,307000,3,2,1594
Santa Maria-Orcutt,259000,4,3,1900
Santa Maria-Orcutt,165000,3,2,1050
Santa Maria-Orcutt,289900,3,2,1414
Nipomo,879000,3,4,3698
Santa Maria-Orcutt,220000,3,2,1200
Atascadero,309000,3,3,1685
Paso Robles,580000,3,3,2271
Santa Maria-Orcutt,459900,2,2,1150
Santa Maria-Orcutt,299000,5,3,2481
Santa Maria-Orcutt,309900,4,3,1600
Paso Robles,287000,3,2,1269
Grover Beach,310000,3,2,1200
Atascadero,229900,3,2,1198
Buellton,377000,3,2,1363
Lompoc,295000,4,2,1973
Santa Maria-Orcutt,225000,3,2,1516
Santa Maria-Orcutt,130000,3,2,1080
Santa Maria-Orcutt,169990,2,1,920
Santa Maria-Orcutt,145000,3,2,1027
Greenfield,184800,4,2,2018
Santa Maria-Orcutt,189900,3,2,1253
Santa Maria-Orcutt,249000,3,2,1062
Santa Maria-Orcutt,185000,4,2,1934
Atascadero,145000,2,2,1041
Paso Robles,429000,5,3,2700
Arroyo Grande,419000,2,2,1587
Santa Maria-Orcutt,245000,3,3,1859
Santa Maria-Orcutt,289900,4,3,2400
Santa Maria-Orcutt,175000,3,2,1110
Santa Maria-Orcutt,139000,3,2,1075
Arroyo Grande,514900,4,3,2035
Pismo Beach,549000,3,2,1858
Atascadero,235000,3,3,1261
Atascadero,399000,6,3,2628
Los Osos,259900,3,2,1120
Lompoc,350900,3,2,1686
Nipomo,1399900,4,4,5190
Santa Maria-Orcutt,399000,3,2,1840
Solvang,399000,3,2,1204
Atascadero,199000,2,1,973
Santa Maria-Orcutt,350000,3,2,1622
Nipomo,296800,4,2,2125
Santa Maria-Orcutt,165000,3,2,1204
Santa Maria-Orcutt,210000,3,3,1750
San Miguel,229000,3,2,1458
San Miguel,199500,3,2,1184
Santa Maria-Orcutt,110000,3,2,1000
Paso Robles,264900,3,3,1197
Atascadero,449900,3,3,2135
Santa Maria-Orcutt,159900,3,2,1114
Paso Robles,429000,4,2,1870
Grover Beach,265000,1,1,566
Nipomo,279900,2,2,1134
Santa Maria-Orcutt,174900,3,2,1100
Lompoc,158900,4,2,1144
Santa Maria-Orcutt,150000,3,2,1349
Buellton,269000,3,3,1281
Atascadero,489900,3,3,1957
Santa Maria-Orcutt,256000,4,2,1174
Atascadero,335000,4,3,2400
Morro Bay,435000,3,2,1236
Santa Maria-Orcutt,280000,3,3,1910
Paso Robles,409000,4,2,2064
Paso Robles,409000,4,2,2064
Paso Robles,399000,4,3,1888
Paso Robles,389000,4,2,1862
Nipomo,222600,3,2,1106
Santa Maria-Orcutt,140000,3,2,1200
Soledad,220000,5,3,2408
Nipomo,650000,3,3,2703
Lompoc,405000,3,2,1728
Paso Robles,409000,3,2,1960
Santa Maria-Orcutt,164900,3,2,1092
Santa Margarita,59900,1,1,628
Santa Maria-Orcutt,199900,3,2,1275
Atascadero,95000,2,1,756
Oceano,170000,2,2,885
San Miguel,720000,4,4,3531
Santa Maria-Orcutt,204000,3,2,1712
Santa Maria-Orcutt,220000,3,2,1100
Buellton,498900,4,3,1500
Santa Maria-Orcutt,229900,3,2,1671
San Luis Obispo,531905,3,2,1668
Santa Maria-Orcutt,114900,2,1,775
Guadalupe,145000,3,2,1200
Lompoc,191330,4,2,1237
Lompoc,199900,4,2,1338
Santa Maria-Orcutt,266800,4,3,2100
San Miguel,84900,2,2,1222
Santa Maria-Orcutt,250000,3,2,1807
Santa Maria-Orcutt,220000,4,2,1352
Lompoc,227900,3,2,1503
Buellton,384900,4,2,1571
Paso Robles,529000,4,3,2502
Santa Maria-Orcutt,159900,3,2,1526
Atascadero,199000,3,2,1007
Lompoc,125000,3,3,1306
Bakersfield,91500,3,2,1313
Santa Maria-Orcutt,155000,3,2,1593
Paso Robles,409000,3,3,2203
Atascadero,949000,5,4,5200
Atascadero,90000,2,1,756
Santa Maria-Orcutt,300000,3,3,2328
Santa Maria-Orcutt,179900,3,2,1008
Grover Beach,349000,3,2,1346
Nipomo,220000,3,2,1112
Santa Maria-Orcutt,155000,3,2,1340
Paso Robles,390000,4,2,2236
Santa Maria-Orcutt,425000,5,4,3039
Santa Maria-Orcutt,249900,3,2,1733
Santa Maria-Orcutt,239000,4,3,1947
Buellton,395000,4,3,1868
Buellton,375000,3,3,1475
Buellton,395000,4,3,1868
Buellton,395000,4,3,1868
Santa Maria-Orcutt,230000,4,3,1927
Santa Maria-Orcutt,189000,3,2,1292
Paso Robles,304900,3,2,1657
Santa Maria-Orcutt,169900,3,2,1300
Santa Maria-Orcutt,286500,3,2,1700
San Miguel,325000,4,2,2400
Grover Beach,375000,3,2,1278
Paso Robles,278000,3,2,1396
Paso Robles,149000,3,2,1368
Santa Maria-Orcutt,209000,3,2,1520
Santa Maria-Orcutt,95000,2,2,900
Santa Maria-Orcutt,199900,3,2,1407
Santa Maria-Orcutt,185000,3,2,1170
Lompoc,449900,4,3,3035
Santa Maria-Orcutt,310000,5,4,2900
Santa Maria-Orcutt,239900,4,2,1656
Santa Maria-Orcutt,187900,2,2,980
Arroyo Grande,450000,3,2,1916
San Luis Obispo,440000,3,3,1756
Santa Maria-Orcutt,260000,3,2,1278
New Cuyama,40900,3,1,1201
Paso Robles,249000,3,2,1275
Atascadero,349000,3,3,2000
Santa Maria-Orcutt,175000,3,2,1200
Atascadero,449970,3,2,2000
Grover Beach,419000,3,2,1902
Arroyo Grande,400000,3,3,1568
Santa Maria-Orcutt,185000,3,2,1257
Santa Maria-Orcutt,139900,2,2,1100
Santa Maria-Orcutt,174900,3,2,1461
Soledad,165360,4,2,1353
Santa Maria-Orcutt,169000,3,2,1200
Santa Maria-Orcutt,240000,3,3,2039
Santa Maria-Orcutt,364000,4,3,2150
Arroyo Grande,250000,1,1,748
Santa Maria-Orcutt,299900,4,3,1969
Santa Maria-Orcutt,281900,4,3,2357
Grover Beach,349900,3,1,1522
Santa Maria-Orcutt,220000,3,2,1850
Templeton,774800,3,4,3123
Santa Maria-Orcutt,135000,3,2,1200
 Lompoc,149900,3,1,1000
Paso Robles,599000,3,2,2082
Santa Maria-Orcutt,179000,3,2,1200
Santa Maria-Orcutt,177000,3,2,1500
Santa Maria-Orcutt,177000,3,2,1500
 Nipomo,122500,4,2,1248
Santa Maria-Orcutt,239500,3,2,1400
Paso Robles,214900,3,2,1080
Santa Maria-Orcutt,275000,3,2,1460
 Arroyo Grande,425000,3,2,1437
